Key,"English Value","Kurdish Translation (کوردی)"
Failed_to_clear_cache,"Failed to clear cache",
Failed_to_copy_to_clipboard,"Failed to copy to clipboard",
Failed_to_disconnect,"Failed to disconnect",
Failed_to_generate_token,"Failed to generate token",
Failed_to_load,"Failed to load.",
Failed_to_load_audit_logs,"Failed to load audit logs",
Failed_to_load_client_stats,"Failed to load client stats",
Failed_to_load_settings,"Failed to load settings",
Failed_to_load_status,"Failed to load status",
Failed_to_load_unsynced_clients,"Failed to load unsynced clients",
Failed_to_save_settings,"Failed to save settings",
Failed_to_sync_clients,"Failed to sync clients",
Failed_to_update_subscription_status,"Failed to update subscription status",
Family_status,"Family Status",
Favicon,Favicon,
Featured_Product,"Featured Product",
Features,Features,
Field_is_required,"This Field is required",
field_must_be_in_csv_format,"Field must be in csv format",
Field_optional,"Field optional",
file,file,
Filesize,"File size",
file_size_must_be_less_than_1_mega,"File size must be less than 1 mega",
Filter,Filter,
Filters,Filters,
Filter_by_warehouse,"Filter by warehouse",
Finish_Date,"Finish date",
Firstname,"First Name",
Flag,Flag,
Font_Family,"Font family",
footer,footer,
Footer_Text,"Footer text",
Forgot_Password,"Forgot Password ?",
friday_in,"Friday In",
friday_out,"Friday Out",
From,From,
FromWarehouse,"From Warehouse",
From_Account,"From Account",
From_Intuit_Keys_Identifies_App,"From Intuit Developer → Keys. This identifies your app to QuickBooks.",
From_Intuit_Keys_Keep_private_rotate,"From Intuit Developer → Keys. Keep this private. Rotate it if you suspect exposure.",
Fullscreen,Fullscreen,
Gateway,"SMS Gateway",
Gender,Gender,
GenerateBackup,"Generate Backup",
Generate_Access_Token,"Generate Access Token",
Generate_New_Token,"Generate New Token",
Generate_new_tokens_anytime,"Generate new tokens anytime to rotate access",
Generating,Generating,
Go_back_to_home,"Go back to homepage",
Grand,Grand,
Grand_Total,"Grand Total",
Gross_Profit,"Gross Profit",
Group,Group,
GroupBy,"Group by",
GroupPermissions,"Group Permissions",
Guarantee_Period,"Guarantee Period",
HasGuarantee,"Has Guarantee",
Header_Discount,"Header discount",
Hello,Hello,
Hero,Hero,
Hero_Header,"Hero header",
Hero_Image,"Hero image",
Hero_Subtitle,"Hero subtitle",
Hero_Title,"Hero title",
Holiday,Holiday,
Holidays,Holidays,
Homepage_Blocks,"Homepage blocks",
HOST,MAIL_HOST,
Hourly,Hourly,
Hourly_rate,"Hourly rate",
How_to_Use,"How to Use",
hrm,HRM,
ID,ID,
If_matching_email_exists_reuse_instead_of_duplicate,"If a matching email exists in QBO, we’ll re-use it instead of creating a duplicate.",
image,Image,
IMEI_SN,IMEI/SN,
Import_Customers,"Import Customers",
import_products,"Import products",
Import_Purchases,"Import Purchases",
Import_Suppliers,"Import Suppliers",
Inactif,Inactive,
Inactive,Inactive,
Inactive_Customers_Report,"Inactive Customers Report",
Inbound,Inbound,
Include_Points_Discounts,"Include points-based discounts",
Income,Income,
IncomeExpenses,"Income & Expenses",
Income_30d,"Income (30d)",
Income_Account_Name,"Income Account Name",
Income_Account_Name_Hint,"If left empty, we’ll use “Sales of Product Income” by default. When syncing, we’ll search QBO for an account with this exact name, if none exists, we’ll use “Sales of Product Income” by default.",
Incomplete,Incomplete,
Incorrect_Login,"Incorrect Login",
Inflow,Inflow,
Inflow_vs_Outflow_by_Group,"Inflow vs Outflow by Group",
initial_balance,"Initial balance",
Input_Tax,"Input Tax",
InsufficientStock,"Insufficient stock for",
Insufficient_stock_for,"Insufficient stock for:",
Invalid,Invalid,
InvalidData,"Something went wrong",
Inventory,Inventory,
Inventory_Valuation,"Inventory Valuation",
Inventory_Valuation_Based_on_Average_Cost,"Inventory Valuation Based on Average Cost",
Invoice,Invoice,
invoice_footer,"Invoice footer",
Invoice_Info,"Invoice Info",
Invoice_POS,"Invoice POS",
In_Progress,"In Progress",
In_Stock,"In stock",
In_Use,"In Use",
Is_Royalty_Eligible,"Is royalty eligible",
Items,Items,
Items_appear_realtime,"Items from the POS cart will appear in real-time",
Items_not_updating_A,"Ensure the POS system is running and the display URL is actively being used.",
Items_not_updating_Q,"Items not updating?",
Items_will_appear_here_as_added_to_cart,"Items will appear here as they're added to the cart",
ITEM_NAME,"ITEM NAME",
joining_date,"Joining date",
Journal_Entries_30d,"Journal Entries (30d)",
Journal_Entries_Link,"Journal Entries",
Journal_Entries_Subtitle,"Create manual entries and browse posted journals.",
Journal_Entries_Title,"Journal Entries",
Journal_Number,"Journal #%{number}",
Journal_Status_Draft,Draft,
Journal_Status_Posted,Posted,
Keep,Keep,
Laivrison,Delivery,
Language,Language,
Languages,Languages,
Last4,"Last 4 Digits",
Last5Sales,"Last 5 Sales",
LastInbound,"Last inbound",
LastMovement,"Last movement",
lastname,"Last Name",
LastPurchase,"Last purchase",
LastSale,"Last sale",
Last_30_days,"Last 30 days",
Last_5_Log_Entries,"Last 5 log entries",
Last_60_days,"Last 60 days",
Last_7_days,"Last 7 days",
Last_90_days,"Last 90 days",
Last_Sync,"Last sync",
Last_Synced_Orders,"Last synced orders",
Last_Sync_Time,"Last sync time",
LeaveBlank,"Please leave this field blank if you haven\'t changed it",
Leave_Reason,"Leave Reason",
Leave_request,"Leave Request",
Leave_type,"Leave Type",
Leaving_Date,"Leaving Date",
Level,Level,
Liabilities,Liabilities,
Liability,Liability,
Limit,Limit,
Lines,Lines,
Line_Discount,"Line discount",
LinkedIn,LinkedIn,
ListAdjustments,"All Adjustments",
ListExpenses,"All Expenses",
ListofBrand,Brands,
ListofCategory,"List of Category",
ListPurchases,"All Purchases",
ListQuotations,"All Quotations",
ListReturns,"All Returns",
ListSales,"All Sales",
ListTransfers,"All Transfers",
List_accounts,"List accounts",
List_Deposit,"List Deposit",
list_product_returns,"list product returns",
Live_QB_company,"Live QuickBooks company (real customers & invoices).",
Loading,Loading,
Locale,Locale,
Location,Location,
LoginCaptcha,"Login Captcha",
Logo,Logo,
logout,Logout,
"Looks good","Looks good",
LowStock,"Quantity exceeds quantity available in stock",
Loyalty_Eligible,"Loyalty Eligible",
Loyalty_Points_Help,"When enabled, this customer will earn loyalty points on eligible purchases and can redeem them later.",
mail_settings,"Mail Settings",
Maintenance,Maintenance,
managementCategories,"Categories management",
ManagementCurrencies,"Currency Management",
managementTax,"Tax management",
managementUnitPurchases,"Purchases Unit",
managementUnitSales,"Sales Unit",
ManagementWarehouse,"Warehouse Management",
ManagerUnits,"Units Management",
Memo,Memo,
Message,Message,
Messages,Messages,
Method,Method,
Minimum_Selling_Price,"Minimum Selling Price",
Min_Selling_Price,"Min Selling Price",
ModePaiement,"Paid by",
Module_Disabled_success,"Module Disabled successfully",
Module_enabled_success,"Module enabled successfully",
module_settings,"Module Settings",
Monday_In,"Monday In",
Monday_Out,"Monday Out",
MontantReste,"Amount left",
Months,Months,
MTD,"Month to date",
MultipleImage,"Multiple Image",
must_be_exist,"unit must already be created",
Must_match_Intuit_redirect_exactly,"Must match the value on your Intuit app exactly (scheme, host, path).",
Name,Name,
Namecategorie,"Category Name",
Name_product,Name,
Negative_Stock_Report,"Negative Stock Report",
Net,Net,
NetAdjustmentsOverTime,"Net adjustments over time",
NetCashFlow,"Net Cash Flow",
NetCashFlowOverTime,"Net Cash Flow Over Time",
NetQty,"Net qty",
Net_Profit,"Net Profit",
Net_Purchases,"Net Purchases",
Net_Sales,"Net Sales",
Net_Tax,"Net Tax",
Net_Unit_Cost,"Net Unit Cost",
Net_Unit_Price,"Net Unit Price",
Never_Moved,"Never moved",
Never_Purchased,"Never purchased",
Never_Sold,"Never sold",
New,New,
NewAdjustement,"New Adjustement",
Newpassword,"New password",
